start,end,duration_hours
2018-01-11 07:00:00,2018-01-12 07:00:00,36
2018-01-26 07:00:00,2018-01-27 07:00:00,36
2018-02-06 19:00:00,2018-02-08 19:00:00,60
2018-02-17 19:00:00,2018-02-18 07:00:00,24
2018-02-19 07:00:00,2018-02-20 07:00:00,36
2018-11-24 07:00:00,2018-11-25 07:00:00,36
