time,step,u10,v10,ssrd,number,surface,valid_time,ssrd_wm2,wind_speed
2018-02-02 19:00:00,0 days 05:00:00,1.7167065,0.04902738,0.0,0,0.0,2018-02-02 19:00:00,0.0,3.356541
2018-02-02 19:00:00,0 days 06:00:00,1.7167065,0.04902738,0.0,0,0.0,2018-02-02 19:00:00,0.0,3.356541
2018-02-02 19:00:00,0 days 07:00:00,1.7167065,0.04902738,0.0,0,0.0,2018-02-02 19:00:00,0.0,3.356541
2018-02-02 19:00:00,0 days 08:00:00,1.7167065,0.04902738,0.0,0,0.0,2018-02-02 19:00:00,0.0,3.356541
2018-02-02 19:00:00,0 days 09:00:00,1.7167065,0.04902738,0.0,0,0.0,2018-02-02 19:00:00,0.0,3.356541
2018-02-02 19:00:00,0 days 10:00:00,1.7167065,0.04902738,0.0,0,0.0,2018-02-02 19:00:00,0.0,3.356541
2018-02-02 19:00:00,0 days 11:00:00,1.7167065,0.04902738,0.0,0,0.0,2018-02-02 19:00:00,0.0,3.356541
2018-02-02 19:00:00,0 days 12:00:00,1.7167065,0.04902738,0.0,0,0.0,2018-02-02 19:00:00,0.0,3.356541
2018-02-03 07:00:00,0 days 01:00:00,1.1538602,-0.62041974,0.0,0,0.0,2018-02-03 07:00:00,0.5678509,2.5445166
2018-02-03 07:00:00,0 days 02:00:00,1.1538602,-0.62041974,0.0,0,0.0,2018-02-03 07:00:00,0.5678509,2.5445166
2018-02-03 07:00:00,0 days 03:00:00,1.1538602,-0.62041974,0.0,0,0.0,2018-02-03 07:00:00,0.5678509,2.5445166
2018-02-03 07:00:00,0 days 04:00:00,1.1538602,-0.62041974,0.0,0,0.0,2018-02-03 07:00:00,0.5678509,2.5445166
2018-02-03 07:00:00,0 days 05:00:00,1.1538602,-0.62041974,0.0,0,0.0,2018-02-03 07:00:00,0.5678509,2.5445166
2018-02-03 07:00:00,0 days 06:00:00,1.1538602,-0.62041974,0.0,0,0.0,2018-02-03 07:00:00,0.5678509,2.5445166
2018-02-03 07:00:00,0 days 07:00:00,1.1538602,-0.62041974,0.0,0,0.0,2018-02-03 07:00:00,0.5678509,2.5445166
2018-02-03 07:00:00,0 days 08:00:00,1.1538602,-0.62041974,0.0,0,0.0,2018-02-03 07:00:00,0.5678509,2.5445166
2018-02-03 07:00:00,0 days 09:00:00,1.1538602,-0.62041974,0.0,0,0.0,2018-02-03 07:00:00,0.5678509,2.5445166
2018-02-03 07:00:00,0 days 10:00:00,1.1538602,-0.62041974,0.0,0,0.0,2018-02-03 07:00:00,0.5678509,2.5445166
2018-02-03 07:00:00,0 days 11:00:00,1.1538602,-0.62041974,0.0,0,0.0,2018-02-03 07:00:00,0.5678509,2.5445166
2018-02-03 07:00:00,0 days 12:00:00,1.1538602,-0.62041974,0.0,0,0.0,2018-02-03 07:00:00,0.5678509,2.5445166
2018-02-03 19:00:00,0 days 01:00:00,0.28250268,-0.9320223,0.0,0,0.0,2018-02-03 19:00:00,0.0,2.4426298
2018-02-03 19:00:00,0 days 02:00:00,0.28250268,-0.9320223,0.0,0,0.0,2018-02-03 19:00:00,0.0,2.4426298
2018-02-03 19:00:00,0 days 03:00:00,0.28250268,-0.9320223,0.0,0,0.0,2018-02-03 19:00:00,0.0,2.4426298
2018-02-03 19:00:00,0 days 04:00:00,0.28250268,-0.9320223,0.0,0,0.0,2018-02-03 19:00:00,0.0,2.4426298
2018-02-03 19:00:00,0 days 05:00:00,0.28250268,-0.9320223,0.0,0,0.0,2018-02-03 19:00:00,0.0,2.4426298
2018-02-03 19:00:00,0 days 06:00:00,0.28250268,-0.9320223,0.0,0,0.0,2018-02-03 19:00:00,0.0,2.4426298
2018-02-03 19:00:00,0 days 07:00:00,0.28250268,-0.9320223,0.0,0,0.0,2018-02-03 19:00:00,0.0,2.4426298
2018-02-03 19:00:00,0 days 08:00:00,0.28250268,-0.9320223,0.0,0,0.0,2018-02-03 19:00:00,0.0,2.4426298
2018-02-03 19:00:00,0 days 09:00:00,0.28250268,-0.9320223,0.0,0,0.0,2018-02-03 19:00:00,0.0,2.4426298
2018-02-03 19:00:00,0 days 10:00:00,0.28250268,-0.9320223,0.0,0,0.0,2018-02-03 19:00:00,0.0,2.4426298
