start,end,duration_hours
2022-01-22 20:00:00,2022-01-26 00:00:00,77
2022-03-14 16:00:00,2022-03-16 05:00:00,38
2022-09-23 07:00:00,2022-09-25 05:00:00,47
2022-11-12 00:00:00,2022-11-13 11:00:00,36
2022-11-28 19:00:00,2022-12-01 08:00:00,62
2022-12-08 07:00:00,2022-12-13 10:00:00,124
2022-12-15 21:00:00,2022-12-17 15:00:00,43
