start,end,duration_hours
2019-01-18 14:00:00,2019-01-22 04:00:00,87
2019-01-23 20:00:00,2019-01-25 09:00:00,38
2019-10-29 15:00:00,2019-10-31 05:00:00,39
2019-11-19 15:00:00,2019-11-21 16:00:00,50
2019-11-24 14:00:00,2019-11-26 02:00:00,37
2019-11-30 10:00:00,2019-12-02 01:00:00,40
