start,end,duration_hours
2018-01-10 10:00:00,2018-01-12 18:00:00,57
2018-01-25 20:00:00,2018-01-27 11:00:00,40
2018-02-06 00:00:00,2018-02-09 06:00:00,79
2018-02-16 20:00:00,2018-02-20 05:00:00,82
2018-11-22 15:00:00,2018-11-25 11:00:00,69
