start,end,duration_hours
2023-01-23 22:00:00,2023-01-26 20:00:00,71
2023-02-11 22:00:00,2023-02-15 19:00:00,94
2023-02-21 16:00:00,2023-02-23 13:00:00,46
2023-08-28 15:00:00,2023-08-30 05:00:00,39
2023-11-29 19:00:00,2023-12-02 16:00:00,70
