start,end,duration_hours
2021-01-01 00:00:00,2021-01-03 00:00:00,49
2021-01-08 15:00:00,2021-01-10 07:00:00,41
2021-06-23 07:00:00,2021-06-25 05:00:00,47
2021-10-16 14:00:00,2021-10-18 05:00:00,40
2021-11-02 15:00:00,2021-11-04 04:00:00,38
2021-11-10 04:00:00,2021-11-12 12:00:00,57
2021-11-15 16:00:00,2021-11-17 04:00:00,37
2021-12-20 07:00:00,2021-12-22 08:00:00,50
