start,end,duration_hours
2024-01-09 22:00:00,2024-01-12 10:00:00,61
2024-10-28 23:00:00,2024-10-31 08:00:00,58
2024-11-03 07:00:00,2024-11-08 07:00:00,121
2024-11-08 22:00:00,2024-11-11 08:00:00,59
2024-12-10 21:00:00,2024-12-13 08:00:00,60
2024-12-25 00:00:00,2024-12-29 03:00:00,100
